Time,Unix Time,Bit Depth (Feet),Depth (Feet),ROP (ft/hr)
12/30/20 0:00:00,1609286400,8563.9,8563.9,512.3
12/30/20 0:00:01,1609286401,8564,8564,519.1
12/30/20 0:00:02,1609286402,8564.2,8564.2,519.1
12/30/20 0:00:03,1609286403,8564.3,8564.3,527
12/30/20 0:00:04,1609286404,8564.5,8564.5,527
12/30/20 0:00:05,1609286405,8564.6,8564.6,521.3
12/30/20 0:00:06,1609286406,8564.8,8564.8,517.9
12/30/20 0:00:07,1609286407,8564.8,8564.8,511.4
12/30/20 0:00:08,1609286408,8565.1,8565.1,513
12/30/20 0:00:09,1609286409,8565.2,8565.2,513
12/30/20 0:00:10,1609286410,8565.3,8565.3,551.1
12/30/20 0:00:11,1609286411,8565.5,8565.5,551.1
12/30/20 0:00:12,1609286412,8565.6,8565.6,549.9
12/30/20 0:00:13,1609286413,8565.7,8565.7,549.9
12/30/20 0:00:14,1609286414,8565.9,8565.9,544.5
12/30/20 0:00:15,1609286415,8566,8566,570.7
12/30/20 0:00:16,1609286416,8566.2,8566.2,570.7
12/30/20 0:00:17,1609286417,8566.3,8566.3,493.1
12/30/20 0:00:18,1609286418,8566.4,8566.4,498.8
12/30/20 0:00:19,1609286419,8566.5,8566.5,498.8
12/30/20 0:00:20,1609286420,8566.7,8566.7,488.4
12/30/20 0:00:21,1609286421,8566.9,8566.9,521.2
12/30/20 0:00:22,1609286422,8566.9,8566.9,521.2
12/30/20 0:00:23,1609286423,8567.1,8567.1,521.2
12/30/20 0:00:24,1609286424,8567.3,8567.3,529.2
12/30/20 0:00:25,1609286425,8567.4,8567.4,529.2
12/30/20 0:00:26,1609286426,8567.6,8567.6,529.2
12/30/20 0:00:27,1609286427,8567.7,8567.7,504.7
12/30/20 0:00:28,1609286428,8567.8,8567.8,513
12/30/20 0:00:29,1609286429,8568,8568,513
12/30/20 0:00:30,1609286430,8568.1,8568.1,509.7
12/30/20 0:00:31,1609286431,8568.3,8568.3,509.7
12/30/20 0:00:32,1609286432,8568.4,8568.4,509.7
12/30/20 0:00:33,1609286433,8568.6,8568.6,525
12/30/20 0:00:34,1609286434,8568.7,8568.7,525
12/30/20 0:00:35,1609286435,8568.9,8568.9,520.7
12/30/20 0:00:36,1609286436,8569,8569,518.9
12/30/20 0:00:37,1609286437,8569.1,8569.1,519.2
12/30/20 0:00:38,1609286438,8569.3,8569.3,519.2
12/30/20 0:00:39,1609286439,8569.4,8569.4,519.4
12/30/20 0:00:40,1609286440,8569.6,8569.6,522.7
12/30/20 0:00:41,1609286441,8569.8,8569.8,522.7
12/30/20 0:00:42,1609286442,8569.8,8569.8,513.7
12/30/20 0:00:43,1609286443,8570,8570,513.7
12/30/20 0:00:44,1609286444,8570.2,8570.2,516.6
12/30/20 0:00:45,1609286445,8570.3,8570.3,516.6
12/30/20 0:00:46,1609286446,8570.5,8570.5,518.2
12/30/20 0:00:47,1609286447,8570.6,8570.6,527.4
12/30/20 0:00:48,1609286448,8570.7,8570.7,527.4
12/30/20 0:00:49,1609286449,8570.8,8570.8,523.7
12/30/20 0:00:50,1609286450,8571,8571,523.7
12/30/20 0:00:51,1609286451,8571.1,8571.1,512.4
12/30/20 0:00:52,1609286452,8571.3,8571.3,511.8
12/30/20 0:00:53,1609286453,8571.5,8571.5,557.8
12/30/20 0:00:54,1609286454,8571.6,8571.6,557.8
12/30/20 0:00:55,1609286455,8571.7,8571.7,537.1
12/30/20 0:00:56,1609286456,8571.8,8571.8,537.1
12/30/20 0:00:57,1609286457,8572,8572,549.9
12/30/20 0:00:58,1609286458,8572.1,8572.1,575.7
12/30/20 0:00:59,1609286459,8572.2,8572.2,575.7
12/30/20 0:01:00,1609286460,8572.4,8572.4,510.7
